Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue
Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue
Existing Customer,51,M,4,Unknown,Married,$120K +,Gold
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue
Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue
Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue
Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue
Existing Customer,53,F,2,College,Married,Less than $40K,Blue
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue
Existing Customer,55,F,1,College,Single,Less than $40K,Blue
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue
Existing Customer,42,F,4,High School,Married,Less than $40K,Gold
Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue
Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue
Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue
Existing Customer,50,F,1,College,Single,$40K - $60K,Silver
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue
Existing Customer,38,F,4,Graduate,Single,Unknown,Blue
Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue
Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue
Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue
Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue
Existing Customer,49,M,2,Unknown,Married,$120K +,Blue
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue
Existing Customer,44,F,5,Graduate,Married,Unknown,Blue
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue
Existing Customer,53,M,2,High School,Single,$120K +,Blue
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue
Existing Customer,44,M,1,College,Single,$60K - $80K,Blue
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue
Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue
Existing Customer,59,F,1,Graduate,Married,Unknown,Blue
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue
Existing Customer,53,M,2,High School,Single,$120K +,Blue
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue
Existing Customer,45,F,3,Unknown,Married,Unknown,Blue
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue
Existing Customer,56,M,3,College,Married,$120K +,Blue
Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue
Existing Customer,49,F,3,College,Single,Unknown,Blue
Existing Customer,41,F,3,Unknown,Married,Unknown,Silver
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue
Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue
Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue
Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue
Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue
Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue
Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue
Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue
